WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=1016.0 (overall: 997.8) avg_msec=48.563 (overall: 50.074)
                                                                   
SET: rps=1019.9 (overall: 997.9) avg_msec=49.460 (overall: 50.072)
                                                                   
SET: rps=1096.0 (overall: 998.4) avg_msec=45.588 (overall: 50.050)
                                                                   
SET: rps=1012.0 (overall: 998.4) avg_msec=49.073 (overall: 50.046)
                                                                   
SET: rps=960.2 (overall: 998.3) avg_msec=51.984 (overall: 50.054)
                                                                  
SET: rps=1012.0 (overall: 998.3) avg_msec=49.864 (overall: 50.053)
                                                                   
SET: rps=1060.0 (overall: 998.6) avg_msec=47.156 (overall: 50.040)
                                                                   
SET: rps=948.2 (overall: 998.4) avg_msec=52.213 (overall: 50.049)
                                                                  
SET: rps=996.0 (overall: 998.4) avg_msec=50.441 (overall: 50.051)
                                                                  
SET: rps=992.0 (overall: 998.3) avg_msec=50.149 (overall: 50.051)
                                                                  
SET: rps=964.0 (overall: 998.2) avg_msec=51.599 (overall: 50.057)
                                                                  
SET: rps=936.0 (overall: 997.9) avg_msec=53.851 (overall: 50.072)
                                                                  
SET: rps=976.1 (overall: 997.8) avg_msec=51.078 (overall: 50.076)
                                                                  
SET: rps=1016.0 (overall: 997.9) avg_msec=49.665 (overall: 50.074)
                                                                   
SET: rps=1031.9 (overall: 998.1) avg_msec=48.269 (overall: 50.067)
                                                                   
SET: rps=1028.0 (overall: 998.2) avg_msec=48.727 (overall: 50.061)
                                                                   
SET: rps=1052.0 (overall: 998.4) avg_msec=47.432 (overall: 50.050)
                                                                   
SET: rps=1059.8 (overall: 998.6) avg_msec=47.187 (overall: 50.038)
                                                                   
SET: rps=1004.0 (overall: 998.7) avg_msec=49.613 (overall: 50.036)
                                                                   
SET: rps=992.0 (overall: 998.6) avg_msec=50.333 (overall: 50.037)
                                                                  
SET: rps=964.1 (overall: 998.5) avg_msec=51.732 (overall: 50.044)
                                                                  
SET: rps=1023.9 (overall: 998.6) avg_msec=48.914 (overall: 50.039)
                                                                   
SET: rps=1051.8 (overall: 998.8) avg_msec=47.539 (overall: 50.028)
                                                                   
SET: rps=1015.9 (overall: 998.9) avg_msec=49.377 (overall: 50.026)
                                                                   
SET: rps=1016.0 (overall: 998.9) avg_msec=49.235 (overall: 50.023)
                                                                   
SET: rps=1008.0 (overall: 999.0) avg_msec=49.266 (overall: 50.020)
                                                                   
SET: rps=988.0 (overall: 998.9) avg_msec=50.345 (overall: 50.021)
                                                                  
SET: rps=988.0 (overall: 998.9) avg_msec=51.071 (overall: 50.025)
                                                                  
SET: rps=1040.0 (overall: 999.1) avg_msec=48.681 (overall: 50.020)
                                                                   
SET: rps=1019.9 (overall: 999.1) avg_msec=48.495 (overall: 50.014)
                                                                   
SET: rps=976.1 (overall: 999.0) avg_msec=51.000 (overall: 50.017)
                                                                  
SET: rps=968.1 (overall: 998.9) avg_msec=51.571 (overall: 50.023)
                                                                  
SET: rps=976.1 (overall: 998.8) avg_msec=51.231 (overall: 50.028)
                                                                  
SET: rps=1000.0 (overall: 998.8) avg_msec=50.366 (overall: 50.029)
                                                                   
SET: rps=1004.0 (overall: 998.9) avg_msec=49.621 (overall: 50.027)
                                                                   
SET: rps=1012.0 (overall: 998.9) avg_msec=49.306 (overall: 50.025)
                                                                   
SET: rps=996.0 (overall: 998.9) avg_msec=50.211 (overall: 50.025)
                                                                  
SET: rps=1015.9 (overall: 999.0) avg_msec=49.264 (overall: 50.022)
                                                                   
SET: rps=1032.0 (overall: 999.1) avg_msec=48.538 (overall: 50.017)
                                                                   
SET: rps=964.1 (overall: 999.0) avg_msec=52.012 (overall: 50.024)
                                                                  
SET: rps=1023.9 (overall: 999.1) avg_msec=48.582 (overall: 50.018)
                                                                   
SET: rps=1035.9 (overall: 999.2) avg_msec=48.098 (overall: 50.011)
                                                                   
SET: rps=964.1 (overall: 999.1) avg_msec=51.733 (overall: 50.017)
                                                                  
SET: rps=1012.0 (overall: 999.1) avg_msec=49.877 (overall: 50.017)
                                                                   
SET: rps=984.1 (overall: 999.1) avg_msec=50.480 (overall: 50.018)
                                                                  
